slang,normalized,meaning,category,language,example
mid vibes tbh,for real,Not lying or being serious,gen_z,english,We went mid vibes tbh on that one.
mid era tbh,performed well,Variant phrase based on 'ate',gen_z,english,We went mid era tbh on that one.
mid phase lowkey,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,"Honestly, mid phase lowkey."
drip phase tbh,lie,Variant phrase based on 'cap',gen_z,english,"Honestly, drip phase tbh."
finna mode asap,strongly,Variant phrase based on 'highkey',gen_z,english,That was finna mode asap.
ate mode asap,delusional,Variant phrase based on 'delulu',gen_z,english,"No stress, it's ate mode asap."
glow up legit,show off,Variant phrase based on 'flex',gen_z,english,That was glow up legit.
glow up core pls,lie,Variant phrase based on 'cap',gen_z,english,We went glow up core pls on that one.
drip core fr,fashion style,Variant phrase based on 'drip',gen_z,english,"No stress, it's drip core fr."
alpha phase pls,social mood assessment,Checking emotional energy,gen_z,english,This feels alpha phase pls today.
bet arc fr,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,That was bet arc fr.
drip mode pls,unoriginal person,Variant phrase based on 'npc',gen_z,english,That was drip mode pls.
ate moment af,greatest of all time,Variant phrase based on 'goated',gen_z,english,"Honestly, ate moment af."
ate era,did well,Variant phrase based on 'understood the assignment',gen_z,english,This feels ate era today.
bussin vibes tbh,suspicious,Variant phrase based on 'sus',gen_z,english,This feels bussin vibes tbh today.
goated core fr,suspicious,Variant phrase based on 'sus',gen_z,english,This feels goated core fr today.
cap vibes highkey,slightly,Variant phrase based on 'lowkey',gen_z,english,"Honestly, cap vibes highkey."
era vibes fr,fashion style,Variant phrase based on 'drip',gen_z,english,We went era vibes fr on that one.
bet arc legit,delusional,Variant phrase based on 'delulu',gen_z,english,This feels bet arc legit today.
alpha phase asap,suspicious,Questionable behavior,gen_z,english,"No stress, it's alpha phase asap."
finna core no cap,unoriginal person,Variant phrase based on 'npc',gen_z,english,"Honestly, finna core no cap."
goated arc no cap,lie,Variant phrase based on 'cap',gen_z,english,"No stress, it's goated arc no cap."
goated era fr,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,This feels goated era fr today.
ate phase asap,greatest of all time,Variant phrase based on 'goated',gen_z,english,We went ate phase asap on that one.
core vibes af,lie,Variant phrase based on 'cap',gen_z,english,"No stress, it's core vibes af."
cap energy pls,excellent,Variant phrase based on 'slay',gen_z,english,"No stress, it's cap energy pls."
drip energy pls,okay,Agreement or confirmation,gen_z,english,"Honestly, drip energy pls."
glow up energy legit,delusional,Variant phrase based on 'delulu',gen_z,english,"Honestly, glow up energy legit."
era moment asap,go outside,Variant phrase based on 'touch grass',gen_z,english,That was era moment asap.
finna era af,average,Variant phrase based on 'mid',gen_z,english,This feels finna era af today.
main character arc rn,confident presence,Variant phrase based on 'main character energy',gen_z,english,"Honestly, main character arc rn."
ate energy af,greatest of all time,Variant phrase based on 'goated',gen_z,english,This feels ate energy af today.
bussin era af,unoriginal person,Someone acting robotic or generic,gen_z,english,"No stress, it's bussin era af."
finna core,unoriginal person,Someone acting robotic or generic,gen_z,english,"No stress, it's finna core."
ate mode pls,excellent,Variant phrase based on 'slay',gen_z,english,"Honestly, ate mode pls."
core core no cap,charisma,Variant phrase based on 'rizz',gen_z,english,We went core core no cap on that one.
alpha arc pls,unoriginal person,Variant phrase based on 'npc',gen_z,english,This feels alpha arc pls today.
core moment legit,perform well,Variant phrase based on 'cook',gen_z,english,That was core moment legit.
mid mode rn,excellent,Variant phrase based on 'slay',gen_z,english,"No stress, it's mid mode rn."
core era highkey,for real,Variant phrase based on 'no cap',gen_z,english,"Honestly, core era highkey."
ate core highkey,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,"No stress, it's ate core highkey."
goated energy fr,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,That was goated energy fr.
vibe check vibes af,dominant person,Variant phrase based on 'alpha',gen_z,english,This feels vibe check vibes af today.
core phase tbh,relatable feeling,Variant phrase based on 'mood',gen_z,english,That was core phase tbh.
core phase rn,excellent,Variant phrase based on 'slay',gen_z,english,"Honestly, core phase rn."
goated mode asap,unoriginal person,Variant phrase based on 'npc',gen_z,english,"No stress, it's goated mode asap."
finna moment lowkey,strongly,Variant phrase based on 'highkey',gen_z,english,This feels finna moment lowkey today.
cap era no cap,perform well,Variant phrase based on 'cook',gen_z,english,That was cap era no cap.
cap era pls,lie,Variant phrase based on 'cap',gen_z,english,That was cap era pls.
cap mode fr,did well,Variant phrase based on 'understood the assignment',gen_z,english,That was cap mode fr.
cap era rn,charisma,Variant phrase based on 'rizz',gen_z,english,This feels cap era rn today.
vibe check core lowkey,did well,Variant phrase based on 'understood the assignment',gen_z,english,This feels vibe check core lowkey today.
drip core lowkey,unoriginal person,Variant phrase based on 'npc',gen_z,english,"Honestly, drip core lowkey."
bet phase rn,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,"Honestly, bet phase rn."
mid vibes highkey,it resembles,Variant phrase based on 'its giving',gen_z,english,"Honestly, mid vibes highkey."
drip vibes no cap,fashion style,Variant phrase based on 'drip',gen_z,english,That was drip vibes no cap.
core era af,delicious,"Very good, usually food",gen_z,english,"Honestly, core era af."
core phase highkey,confident presence,Variant phrase based on 'main character energy',gen_z,english,"No stress, it's core phase highkey."
drip vibes tbh,unoriginal person,Variant phrase based on 'npc',gen_z,english,"Honestly, drip vibes tbh."
bet energy tbh,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,We went bet energy tbh on that one.
core phase lowkey,okay,Variant phrase based on 'bet',gen_z,english,That was core phase lowkey.
cap phase fr,unoriginal person,Variant phrase based on 'npc',gen_z,english,"Honestly, cap phase fr."
slay era af,fashion style,Variant phrase based on 'drip',gen_z,english,We went slay era af on that one.
era vibes highkey,excellent,Variant phrase based on 'slay',gen_z,english,That was era vibes highkey.
bet phase,strongly,Strong feeling or opinion,gen_z,english,That was bet phase.
goated mode af,delusional,Unrealistically hopeful,gen_z,english,We went goated mode af on that one.
bet energy lowkey,go outside,Variant phrase based on 'touch grass',gen_z,english,"No stress, it's bet energy lowkey."
finna energy pls,relatable feeling,Variant phrase based on 'mood',gen_z,english,We went finna energy pls on that one.
vibe check core fr,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,"No stress, it's vibe check core fr."
bet vibes rn,fashion style,Variant phrase based on 'drip',gen_z,english,"Honestly, bet vibes rn."
era moment af,okay,Variant phrase based on 'bet',gen_z,english,This feels era moment af today.
bussin core rn,go outside,Variant phrase based on 'touch grass',gen_z,english,That was bussin core rn.
bussin core highkey,okay,Agreement or confirmation,gen_z,english,"Honestly, bussin core highkey."
finna vibes rn,fashion style,Variant phrase based on 'drip',gen_z,english,We went finna vibes rn on that one.
slay vibes no cap,dominant person,Variant phrase based on 'alpha',gen_z,english,That was slay vibes no cap.
core arc tbh,performed well,Variant phrase based on 'ate',gen_z,english,"No stress, it's core arc tbh."
slay phase no cap,slightly,Variant phrase based on 'lowkey',gen_z,english,We went slay phase no cap on that one.
main character era asap,delusional,Variant phrase based on 'delulu',gen_z,english,"Honestly, main character era asap."
main character energy legit,perform well,Variant phrase based on 'cook',gen_z,english,This feels main character energy legit today.
alpha phase fr,it resembles,Variant phrase based on 'its giving',gen_z,english,This feels alpha phase fr today.
glow up vibes lowkey,confident presence,Variant phrase based on 'main character energy',gen_z,english,That was glow up vibes lowkey.
core mode lowkey,relatable feeling,Variant phrase based on 'mood',gen_z,english,"Honestly, core mode lowkey."
core mode fr,confident presence,Variant phrase based on 'main character energy',gen_z,english,"Honestly, core mode fr."
alpha mode af,greatest of all time,Variant phrase based on 'goated',gen_z,english,That was alpha mode af.
ate phase af,for real,Variant phrase based on 'no cap',gen_z,english,This feels ate phase af today.
glow up moment af,charisma,Charm or flirting ability,gen_z,english,"Honestly, glow up moment af."
core core lowkey,show off,Variant phrase based on 'flex',gen_z,english,That was core core lowkey.
drip core af,delicious,Variant phrase based on 'bussin',gen_z,english,"No stress, it's drip core af."
main character arc,show off,Variant phrase based on 'flex',gen_z,english,"Honestly, main character arc."
ate energy legit,go outside,Variant phrase based on 'touch grass',gen_z,english,That was ate energy legit.
slay energy no cap,charisma,Charm or flirting ability,gen_z,english,We went slay energy no cap on that one.
cap moment af,lie,Variant phrase based on 'cap',gen_z,english,"Honestly, cap moment af."
main character vibes lowkey,did well,Completed task stylishly,gen_z,english,"Honestly, main character vibes lowkey."
mid phase legit,show off,Variant phrase based on 'flex',gen_z,english,We went mid phase legit on that one.
ate energy highkey,suspicious,Variant phrase based on 'sus',gen_z,english,"Honestly, ate energy highkey."
goated core highkey,it resembles,Variant phrase based on 'its giving',gen_z,english,That was goated core highkey.
cap energy tbh,suspicious,Questionable behavior,gen_z,english,"Honestly, cap energy tbh."
main character core af,delusional,Variant phrase based on 'delulu',gen_z,english,We went main character core af on that one.
era era pls,average,Variant phrase based on 'mid',gen_z,english,That was era era pls.
main character vibes no cap,delusional,Variant phrase based on 'delulu',gen_z,english,"No stress, it's main character vibes no cap."
goated era pls,relatable feeling,Variant phrase based on 'mood',gen_z,english,This feels goated era pls today.
bet mode fr,charisma,Charm or flirting ability,gen_z,english,This feels bet mode fr today.
cap energy fr,slightly,Variant phrase based on 'lowkey',gen_z,english,This feels cap energy fr today.
core moment tbh,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,That was core moment tbh.
cap phase af,average,Variant phrase based on 'mid',gen_z,english,That was cap phase af.
slay core legit,slightly,Variant phrase based on 'lowkey',gen_z,english,That was slay core legit.
ate phase fr,lie,Variant phrase based on 'cap',gen_z,english,That was ate phase fr.
glow up core highkey,charisma,Variant phrase based on 'rizz',gen_z,english,"No stress, it's glow up core highkey."
main character core tbh,show off,Display status or success,gen_z,english,This feels main character core tbh today.
core vibes tbh,lie,Variant phrase based on 'cap',gen_z,english,"Honestly, core vibes tbh."
goated energy asap,greatest of all time,Extremely impressive,gen_z,english,"No stress, it's goated energy asap."
glow up core af,slightly,Variant phrase based on 'lowkey',gen_z,english,This feels glow up core af today.
mid energy asap,fashion style,Variant phrase based on 'drip',gen_z,english,This feels mid energy asap today.
cap arc no cap,go outside,Variant phrase based on 'touch grass',gen_z,english,"No stress, it's cap arc no cap."
finna vibes tbh,greatest of all time,Variant phrase based on 'goated',gen_z,english,"Honestly, finna vibes tbh."
slay phase highkey,excellent,Variant phrase based on 'slay',gen_z,english,We went slay phase highkey on that one.
finna energy no cap,slightly,Variant phrase based on 'lowkey',gen_z,english,"No stress, it's finna energy no cap."
glow up mode pls,fashion style,Variant phrase based on 'drip',gen_z,english,That was glow up mode pls.
drip energy no cap,strongly,Variant phrase based on 'highkey',gen_z,english,This feels drip energy no cap today.
drip vibes pls,suspicious,Variant phrase based on 'sus',gen_z,english,"Honestly, drip vibes pls."
era era fr,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,"No stress, it's era era fr."
alpha era lowkey,did well,Variant phrase based on 'understood the assignment',gen_z,english,We went alpha era lowkey on that one.
slay mode no cap,go outside,Variant phrase based on 'touch grass',gen_z,english,"No stress, it's slay mode no cap."
alpha phase no cap,it resembles,Variant phrase based on 'its giving',gen_z,english,That was alpha phase no cap.
bussin core af,excellent,Variant phrase based on 'slay',gen_z,english,We went bussin core af on that one.
era era no cap,delusional,Variant phrase based on 'delulu',gen_z,english,"No stress, it's era era no cap."
goated era no cap,slightly,Variant phrase based on 'lowkey',gen_z,english,"No stress, it's goated era no cap."
mid core highkey,delusional,Variant phrase based on 'delulu',gen_z,english,"No stress, it's mid core highkey."
vibe check arc highkey,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,"Honestly, vibe check arc highkey."
cap energy asap,delusional,Variant phrase based on 'delulu',gen_z,english,That was cap energy asap.
finna energy tbh,dominant person,Variant phrase based on 'alpha',gen_z,english,This feels finna energy tbh today.
ate core asap,average,Variant phrase based on 'mid',gen_z,english,That was ate core asap.
bet arc pls,perform well,Variant phrase based on 'cook',gen_z,english,This feels bet arc pls today.
drip mode highkey,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,That was drip mode highkey.
ate mode legit,lie,Variant phrase based on 'cap',gen_z,english,This feels ate mode legit today.
bussin phase tbh,suspicious,Questionable behavior,gen_z,english,This feels bussin phase tbh today.
finna phase af,delusional,Variant phrase based on 'delulu',gen_z,english,"No stress, it's finna phase af."
drip core pls,suspicious,Variant phrase based on 'sus',gen_z,english,That was drip core pls.
ate energy lowkey,go outside,Variant phrase based on 'touch grass',gen_z,english,That was ate energy lowkey.
cap energy no cap,perform well,Variant phrase based on 'cook',gen_z,english,This feels cap energy no cap today.
era vibes af,fashion style,Variant phrase based on 'drip',gen_z,english,"No stress, it's era vibes af."
cap core rn,confident presence,Variant phrase based on 'main character energy',gen_z,english,We went cap core rn on that one.
bet moment lowkey,perform well,Variant phrase based on 'cook',gen_z,english,That was bet moment lowkey.
main character mode legit,did well,Variant phrase based on 'understood the assignment',gen_z,english,"Honestly, main character mode legit."
goated era af,perform well,Variant phrase based on 'cook',gen_z,english,"Honestly, goated era af."
goated core no cap,charisma,Variant phrase based on 'rizz',gen_z,english,We went goated core no cap on that one.
ate core legit,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,This feels ate core legit today.
era energy asap,delusional,Variant phrase based on 'delulu',gen_z,english,"No stress, it's era energy asap."
drip arc af,for real,Variant phrase based on 'no cap',gen_z,english,That was drip arc af.
core era lowkey,did well,Variant phrase based on 'understood the assignment',gen_z,english,That was core era lowkey.
vibe check era pls,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,"No stress, it's vibe check era pls."
glow up mode rn,show off,Variant phrase based on 'flex',gen_z,english,That was glow up mode rn.
bet phase pls,okay,Variant phrase based on 'bet',gen_z,english,We went bet phase pls on that one.
core moment rn,go outside,Variant phrase based on 'touch grass',gen_z,english,This feels core moment rn today.
goated arc af,it resembles,Variant phrase based on 'its giving',gen_z,english,This feels goated arc af today.
bet core legit,it resembles,Variant phrase based on 'its giving',gen_z,english,That was bet core legit.
era moment legit,okay,Variant phrase based on 'bet',gen_z,english,"No stress, it's era moment legit."
drip arc legit,did well,Variant phrase based on 'understood the assignment',gen_z,english,That was drip arc legit.
cap mode legit,suspicious,Variant phrase based on 'sus',gen_z,english,That was cap mode legit.
bussin mode legit,charisma,Variant phrase based on 'rizz',gen_z,english,This feels bussin mode legit today.
core core af,for real,Variant phrase based on 'no cap',gen_z,english,"No stress, it's core core af."
core arc no cap,lie,Variant phrase based on 'cap',gen_z,english,"No stress, it's core arc no cap."
vibe check arc tbh,for real,Variant phrase based on 'no cap',gen_z,english,We went vibe check arc tbh on that one.
main character phase af,unoriginal person,Variant phrase based on 'npc',gen_z,english,"No stress, it's main character phase af."
bussin arc no cap,okay,Variant phrase based on 'bet',gen_z,english,That was bussin arc no cap.
ate era lowkey,go outside,Variant phrase based on 'touch grass',gen_z,english,That was ate era lowkey.
alpha core legit,delusional,Variant phrase based on 'delulu',gen_z,english,"Honestly, alpha core legit."
goated phase no cap,did well,Variant phrase based on 'understood the assignment',gen_z,english,That was goated phase no cap.
glow up energy pls,delicious,"Very good, usually food",gen_z,english,That was glow up energy pls.
vibe check energy af,average,Variant phrase based on 'mid',gen_z,english,This feels vibe check energy af today.
era phase asap,confident presence,Variant phrase based on 'main character energy',gen_z,english,That was era phase asap.
cap core af,charisma,Variant phrase based on 'rizz',gen_z,english,That was cap core af.
alpha phase legit,charisma,Variant phrase based on 'rizz',gen_z,english,"Honestly, alpha phase legit."
slay mode tbh,show off,Variant phrase based on 'flex',gen_z,english,That was slay mode tbh.
vibe check vibes pls,delusional,Variant phrase based on 'delulu',gen_z,english,"No stress, it's vibe check vibes pls."
bet energy fr,go outside,Variant phrase based on 'touch grass',gen_z,english,This feels bet energy fr today.
bussin era pls,suspicious,Variant phrase based on 'sus',gen_z,english,"No stress, it's bussin era pls."
glow up moment rn,confident presence,Variant phrase based on 'main character energy',gen_z,english,This feels glow up moment rn today.
bussin arc tbh,greatest of all time,Variant phrase based on 'goated',gen_z,english,That was bussin arc tbh.
glow up mode no cap,slightly,Variant phrase based on 'lowkey',gen_z,english,"Honestly, glow up mode no cap."
drip phase fr,did well,Completed task stylishly,gen_z,english,This feels drip phase fr today.
glow up vibes no cap,did well,Variant phrase based on 'understood the assignment',gen_z,english,That was glow up vibes no cap.
bussin phase fr,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,We went bussin phase fr on that one.
goated core asap,did well,Variant phrase based on 'understood the assignment',gen_z,english,That was goated core asap.
finna phase lowkey,fashion style,Variant phrase based on 'drip',gen_z,english,"Honestly, finna phase lowkey."
era mode no cap,show off,Variant phrase based on 'flex',gen_z,english,This feels era mode no cap today.
glow up vibes fr,lie,Variant phrase based on 'cap',gen_z,english,We went glow up vibes fr on that one.
drip era lowkey,perform well,Variant phrase based on 'cook',gen_z,english,That was drip era lowkey.
finna era lowkey,fashion style,Variant phrase based on 'drip',gen_z,english,That was finna era lowkey.
era energy lowkey,show off,Variant phrase based on 'flex',gen_z,english,"Honestly, era energy lowkey."
core phase no cap,did well,Variant phrase based on 'understood the assignment',gen_z,english,"Honestly, core phase no cap."
core mode tbh,confident presence,Variant phrase based on 'main character energy',gen_z,english,This feels core mode tbh today.
glow up arc asap,performed well,Variant phrase based on 'ate',gen_z,english,That was glow up arc asap.
drip arc lowkey,for real,Not lying or being serious,gen_z,english,"No stress, it's drip arc lowkey."
bet core no cap,charisma,Variant phrase based on 'rizz',gen_z,english,We went bet core no cap on that one.
drip mode no cap,confident presence,Variant phrase based on 'main character energy',gen_z,english,"No stress, it's drip mode no cap."
bussin core lowkey,go outside,Variant phrase based on 'touch grass',gen_z,english,This feels bussin core lowkey today.
finna phase legit,allow him to continue,Trust the process,gen_z,english,"Honestly, finna phase legit."
vibe check phase lowkey,relatable feeling,Variant phrase based on 'mood',gen_z,english,This feels vibe check phase lowkey today.
cap mode highkey,performed well,Variant phrase based on 'ate',gen_z,english,"No stress, it's cap mode highkey."
vibe check phase no cap,lie,Variant phrase based on 'cap',gen_z,english,"No stress, it's vibe check phase no cap."
cap energy highkey,okay,Variant phrase based on 'bet',gen_z,english,We went cap energy highkey on that one.
finna vibes af,lie,Variant phrase based on 'cap',gen_z,english,"Honestly, finna vibes af."
main character vibes pls,social mood assessment,Checking emotional energy,gen_z,english,That was main character vibes pls.
drip moment af,delusional,Unrealistically hopeful,gen_z,english,We went drip moment af on that one.
goated moment highkey,excellent,Variant phrase based on 'slay',gen_z,english,This feels goated moment highkey today.
slay mode fr,confident presence,Variant phrase based on 'main character energy',gen_z,english,"Honestly, slay mode fr."
era energy af,delusional,Variant phrase based on 'delulu',gen_z,english,This feels era energy af today.
cap arc lowkey,performed perfectly,Variant phrase based on 'ate and left no crumbs',gen_z,english,"No stress, it's cap arc lowkey."
cap arc legit,dominant person,Variant phrase based on 'alpha',gen_z,english,"No stress, it's cap arc legit."
core phase legit,dominant person,Variant phrase based on 'alpha',gen_z,english,We went core phase legit on that one.
bussin arc af,suspicious,Variant phrase based on 'sus',gen_z,english,That was bussin arc af.
bet core asap,delicious,"Very good, usually food",gen_z,english,"Honestly, bet core asap."
era arc rn,unoriginal person,Variant phrase based on 'npc',gen_z,english,"Honestly, era arc rn."
cap era asap,delicious,Variant phrase based on 'bussin',gen_z,english,We went cap era asap on that one.
bussin arc highkey,lie,Variant phrase based on 'cap',gen_z,english,That was bussin arc highkey.
alpha era highkey,charisma,Variant phrase based on 'rizz',gen_z,english,"No stress, it's alpha era highkey."
drip energy af,did well,Variant phrase based on 'understood the assignment',gen_z,english,That was drip energy af.
vibe check energy rn,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,That was vibe check energy rn.
mid energy af,go outside,Variant phrase based on 'touch grass',gen_z,english,That was mid energy af.
slay phase af,go outside,Variant phrase based on 'touch grass',gen_z,english,We went slay phase af on that one.
era era rn,average,Variant phrase based on 'mid',gen_z,english,"No stress, it's era era rn."
finna core pls,lie,Variant phrase based on 'cap',gen_z,english,This feels finna core pls today.
glow up core fr,show off,Variant phrase based on 'flex',gen_z,english,"No stress, it's glow up core fr."
vibe check mode fr,greatest of all time,Variant phrase based on 'goated',gen_z,english,"No stress, it's vibe check mode fr."
bet mode highkey,confident presence,Variant phrase based on 'main character energy',gen_z,english,We went bet mode highkey on that one.
core energy af,delicious,Variant phrase based on 'bussin',gen_z,english,We went core energy af on that one.
goated core lowkey,show off,Display status or success,gen_z,english,We went goated core lowkey on that one.
vibe check arc lowkey,dominant person,Variant phrase based on 'alpha',gen_z,english,"No stress, it's vibe check arc lowkey."
ate arc rn,suspicious,Variant phrase based on 'sus',gen_z,english,That was ate arc rn.
ate era highkey,delusional,Variant phrase based on 'delulu',gen_z,english,We went ate era highkey on that one.
cap core no cap,fashion style,Variant phrase based on 'drip',gen_z,english,That was cap core no cap.
bussin phase asap,strongly,Variant phrase based on 'highkey',gen_z,english,We went bussin phase asap on that one.
ate phase no cap,strongly,Variant phrase based on 'highkey',gen_z,english,This feels ate phase no cap today.
goated core legit,okay,Variant phrase based on 'bet',gen_z,english,"No stress, it's goated core legit."
alpha core highkey,strongly,Variant phrase based on 'highkey',gen_z,english,This feels alpha core highkey today.
glow up core rn,did well,Variant phrase based on 'understood the assignment',gen_z,english,"No stress, it's glow up core rn."
ate vibes fr,charisma,Variant phrase based on 'rizz',gen_z,english,This feels ate vibes fr today.
vibe check mode rn,did well,Variant phrase based on 'understood the assignment',gen_z,english,That was vibe check mode rn.
bet mode no cap,did well,Variant phrase based on 'understood the assignment',gen_z,english,This feels bet mode no cap today.
finna era no cap,go outside,Variant phrase based on 'touch grass',gen_z,english,"Honestly, finna era no cap."
cap vibes fr,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,That was cap vibes fr.
cap era af,it resembles,Variant phrase based on 'its giving',gen_z,english,"No stress, it's cap era af."
finna energy lowkey,excellent,Variant phrase based on 'slay',gen_z,english,"No stress, it's finna energy lowkey."
era mode highkey,dominant person,Variant phrase based on 'alpha',gen_z,english,"No stress, it's era mode highkey."
alpha phase highkey,slightly,Variant phrase based on 'lowkey',gen_z,english,We went alpha phase highkey on that one.
era arc asap,excellent,Variant phrase based on 'slay',gen_z,english,This feels era arc asap today.
ate arc,strongly,Variant phrase based on 'highkey',gen_z,english,That was ate arc.
alpha mode pls,did well,Variant phrase based on 'understood the assignment',gen_z,english,"Honestly, alpha mode pls."
bet phase asap,perform well,Variant phrase based on 'cook',gen_z,english,"Honestly, bet phase asap."
bussin vibes highkey,relatable feeling,Variant phrase based on 'mood',gen_z,english,That was bussin vibes highkey.
bussin phase lowkey,lie,Variant phrase based on 'cap',gen_z,english,"No stress, it's bussin phase lowkey."
finna arc highkey,slightly,Variant phrase based on 'lowkey',gen_z,english,"No stress, it's finna arc highkey."
mid mode pls,relatable feeling,Variant phrase based on 'mood',gen_z,english,"Honestly, mid mode pls."
cap era lowkey,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,That was cap era lowkey.
main character era pls,perform well,Variant phrase based on 'cook',gen_z,english,That was main character era pls.
slay era lowkey,show off,Variant phrase based on 'flex',gen_z,english,"No stress, it's slay era lowkey."
drip arc rn,it resembles,Variant phrase based on 'its giving',gen_z,english,"No stress, it's drip arc rn."
goated vibes rn,perform well,Variant phrase based on 'cook',gen_z,english,"Honestly, goated vibes rn."
era phase pls,performed well,Variant phrase based on 'ate',gen_z,english,This feels era phase pls today.
vibe check mode highkey,slightly,Variant phrase based on 'lowkey',gen_z,english,This feels vibe check mode highkey today.
bet vibes highkey,did well,Completed task stylishly,gen_z,english,"Honestly, bet vibes highkey."
ate era tbh,delusional,Variant phrase based on 'delulu',gen_z,english,We went ate era tbh on that one.
core era fr,for real,Not lying or being serious,gen_z,english,"No stress, it's core era fr."
goated arc highkey,dominant person,Variant phrase based on 'alpha',gen_z,english,That was goated arc highkey.
glow up mode lowkey,perform well,Variant phrase based on 'cook',gen_z,english,We went glow up mode lowkey on that one.
bussin phase no cap,perform well,Variant phrase based on 'cook',gen_z,english,That was bussin phase no cap.
core mode rn,slightly,Variant phrase based on 'lowkey',gen_z,english,"No stress, it's core mode rn."
bussin core no cap,average,Variant phrase based on 'mid',gen_z,english,"No stress, it's bussin core no cap."
main character vibes tbh,slightly,Variant phrase based on 'lowkey',gen_z,english,This feels main character vibes tbh today.
main character era legit,greatest of all time,Variant phrase based on 'goated',gen_z,english,This feels main character era legit today.
main character core highkey,confident presence,Variant phrase based on 'main character energy',gen_z,english,"Honestly, main character core highkey."
goated vibes lowkey,greatest of all time,Variant phrase based on 'goated',gen_z,english,This feels goated vibes lowkey today.
core vibes fr,dominant person,Confident leader archetype,gen_z,english,"No stress, it's core vibes fr."
cap vibes asap,perform well,Doing something skillfully,gen_z,english,"No stress, it's cap vibes asap."
glow up phase fr,perform well,Variant phrase based on 'cook',gen_z,english,"No stress, it's glow up phase fr."
drip mode asap,it resembles,Variant phrase based on 'its giving',gen_z,english,"No stress, it's drip mode asap."
slay vibes legit,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,We went slay vibes legit on that one.
glow up core lowkey,suspicious,Variant phrase based on 'sus',gen_z,english,"No stress, it's glow up core lowkey."
alpha energy af,for real,Variant phrase based on 'no cap',gen_z,english,We went alpha energy af on that one.
slay moment no cap,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,"No stress, it's slay moment no cap."
vibe check mode legit,delusional,Variant phrase based on 'delulu',gen_z,english,"No stress, it's vibe check mode legit."
glow up mode highkey,strongly,Variant phrase based on 'highkey',gen_z,english,"No stress, it's glow up mode highkey."
mid energy fr,did well,Variant phrase based on 'understood the assignment',gen_z,english,That was mid energy fr.
main character core lowkey,average,Something unimpressive,gen_z,english,This feels main character core lowkey today.
finna mode rn,performed well,Variant phrase based on 'ate',gen_z,english,This feels finna mode rn today.
cap energy lowkey,go outside,Variant phrase based on 'touch grass',gen_z,english,"No stress, it's cap energy lowkey."
ate moment highkey,go outside,Variant phrase based on 'touch grass',gen_z,english,"Honestly, ate moment highkey."
bussin phase highkey,confident presence,Variant phrase based on 'main character energy',gen_z,english,"Honestly, bussin phase highkey."
drip phase af,lie,Variant phrase based on 'cap',gen_z,english,That was drip phase af.
main character core legit,show off,Variant phrase based on 'flex',gen_z,english,We went main character core legit on that one.
era phase rn,performed well,Variant phrase based on 'ate',gen_z,english,This feels era phase rn today.
main character era lowkey,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,We went main character era lowkey on that one.
cap phase highkey,slightly,Variant phrase based on 'lowkey',gen_z,english,"No stress, it's cap phase highkey."
core moment fr,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,This feels core moment fr today.
slay era legit,excellent,Variant phrase based on 'slay',gen_z,english,"Honestly, slay era legit."
finna mode legit,okay,Variant phrase based on 'bet',gen_z,english,That was finna mode legit.
era moment tbh,dominant person,Variant phrase based on 'alpha',gen_z,english,We went era moment tbh on that one.
slay core no cap,for real,Variant phrase based on 'no cap',gen_z,english,That was slay core no cap.
bussin energy af,allow him to continue,Variant phrase based on 'let him cook',gen_z,english,That was bussin energy af.
main character phase fr,dominant person,Variant phrase based on 'alpha',gen_z,english,"Honestly, main character phase fr."
mid mode lowkey,relatable feeling,Variant phrase based on 'mood',gen_z,english,That was mid mode lowkey.
bet mode rn,it resembles,Variant phrase based on 'its giving',gen_z,english,This feels bet mode rn today.
alpha vibes tbh,greatest of all time,Variant phrase based on 'goated',gen_z,english,This feels alpha vibes tbh today.
cap phase no cap,show off,Variant phrase based on 'flex',gen_z,english,"Honestly, cap phase no cap."
core era legit,social mood assessment,Variant phrase based on 'vibe check',gen_z,english,We went core era legit on that one.
slay energy rn,performed well,Variant phrase based on 'ate',gen_z,english,This feels slay energy rn today.
